Event	ID	Name			Wwise Object Path	Notes
	106912753	Stop_Music_Menu			\Default Work Unit\Menu\Stop_Music_Menu	
	309439191	menu_hover			\Default Work Unit\Menu\menu_hover	
	347845317	play_ingame_music			\Default Work Unit\Menu\play_ingame_music	
	684244974	Resume_Music_Menu			\Default Work Unit\Menu\Resume_Music_Menu	
	1114964412	start_game			\Default Work Unit\Menu\start_game	
	1699343283	Play_Music_Menu			\Default Work Unit\Menu\Play_Music_Menu	
	2118972397	click_forward			\Default Work Unit\Menu\click_forward	
	4139987437	click_backward			\Default Work Unit\Menu\click_backward	
	4203375351	menu_select			\Default Work Unit\Menu\menu_select	
	4205370793	Pause_Music_Menu			\Default Work Unit\Menu\Pause_Music_Menu	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	14294545	SFX_Menu_ClickForward_V1	C:\Users\Riqui\Documents\GitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Menu_ClickForward_V1_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\SFX_Menu_ClickForward_V1		34120
	14717544	Music_Menu	C:\Users\Riqui\Documents\GitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\Celtic Fairy Music - Fairy Forest_127128FE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Music_Menu		14035096
	49311901	SFX_Menu_ClicksForward_V5	C:\Users\Riqui\Documents\GitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\Fordward\SFX_Menu_ClicksForward_V5_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Menu_Clicks\Fordward\SFX_Menu_ClicksForward_V5		99352
	49759006	SFX_Menu_HoverButton_V1	C:\Users\Riqui\Documents\GitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Menu_HoverButton_V1_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\SFX_Menu_HoverButton_V1		9784
	60945481	SFX_Menu_ClicksForward_V1	C:\Users\Riqui\Documents\GitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\Fordward\SFX_Menu_ClicksForward_V1_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Menu_Clicks\Fordward\SFX_Menu_ClicksForward_V1		99352
	63557551	SFX_Menu_ClicksForward_V3	C:\Users\Riqui\Documents\GitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\Fordward\SFX_Menu_ClicksForward_V3_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Menu_Clicks\Fordward\SFX_Menu_ClicksForward_V3		99352
	250274843	SFX_Menu_StartGame_V1	C:\Users\Riqui\Documents\GitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Menu_StartGame_V1_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\SFX_Menu_StartGame_V1		161632
	271477756	TwinlightSouls_Menu_InGame_Ambient	C:\Users\Riqui\Documents\GitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\TwinlightSouls_Menu_InGame_Ambient_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\TwinlightSouls_Menu_InGame_Ambient		8277472
	421477461	SFX_Menu_ClicksBackward_V4	C:\Users\Riqui\Documents\GitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\Backward\SFX_Menu_ClicksBackward_V4_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Menu_Clicks\Backward\SFX_Menu_ClicksBackward_V4		99352
	440421278	SFX_Menu_ClicksBackward_V5	C:\Users\Riqui\Documents\GitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\Backward\SFX_Menu_ClicksBackward_V5_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Menu_Clicks\Backward\SFX_Menu_ClicksBackward_V5		99352
	552982647	SFX_Menu_ClicksBackward_V2	C:\Users\Riqui\Documents\GitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\Backward\SFX_Menu_ClicksBackward_V2_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Menu_Clicks\Backward\SFX_Menu_ClicksBackward_V2		99352
	618545020	SFX_Menu_ClicksForward_V2	C:\Users\Riqui\Documents\GitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\Fordward\SFX_Menu_ClicksForward_V2_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Menu_Clicks\Fordward\SFX_Menu_ClicksForward_V2		99352
	703338044	SFX_Menu_ClicksBackward_V3	C:\Users\Riqui\Documents\GitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\Backward\SFX_Menu_ClicksBackward_V3_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Menu_Clicks\Backward\SFX_Menu_ClicksBackward_V3		99352
	854611496	SFX_Menu_ClicksBackward_V1	C:\Users\Riqui\Documents\GitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\Backward\SFX_Menu_ClicksBackward_V1_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Menu_Clicks\Backward\SFX_Menu_ClicksBackward_V1		99352
	966780011	SFX_Menu_ClicksForward_V4	C:\Users\Riqui\Documents\GitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\Fordward\SFX_Menu_ClicksForward_V4_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Menu_Clicks\Fordward\SFX_Menu_ClicksForward_V4		99352

