Event	ID	Name			Wwise Object Path	Notes
	41941568	play_idle			\Default Work Unit\Mushdoom\play_idle	
	1602358412	play_footstep			\Default Work Unit\Mushdoom\play_footstep	
	1977644338	play_throw			\Default Work Unit\Mushdoom\play_throw	
	2230205651	play_receive_hit			\Default Work Unit\Mushdoom\play_receive_hit	
	2942461374	play_cry			\Default Work Unit\Mushdoom\play_cry	
	3429773683	play_ground			\Default Work Unit\Mushdoom\play_ground	
	4096721563	play_make_attack			\Default Work Unit\Mushdoom\play_make_attack	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	127024558	SFX_Character_Mushdoom_Walk1	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Character_Mushdoom_Walk1_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\Footsteps\SFX_Character_Mushdoom_Walk1		34768
	169203736	SFX_Attack_Hit_V1	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Hit_V1_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\Hits\SFX_Attack_Hit_V1		9280
	173466054	SFX_Character_Mushdoom_Walk3	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Character_Mushdoom_Walk3_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\Footsteps\SFX_Character_Mushdoom_Walk3		12592
	305078308	SFX_Attack_Hit_V8	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Hit_V8_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\Hits\SFX_Attack_Hit_V8		10792
	345211447	SFX_Character_Mushdoom_Ground	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\Mushdoom\SFX_Character_Mushdoom_Ground_B377F979.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\SFX_Character_Mushdoom_Ground		32176
	484679464	SFX_Attack_Hit_V7	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Hit_V7_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\Hits\SFX_Attack_Hit_V7		13096
	570557245	SFX_Attack_Hit_V6	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Hit_V6_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\Hits\SFX_Attack_Hit_V6		10432
	643387367	SFX_Character_Mushdoom_Attack	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Character_Mushdoom_Attack_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\SFX_Character_Mushdoom_Attack		89344
	759245099	SFX_Character_Mushdoom_Walk4	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Character_Mushdoom_Walk4_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\Footsteps\SFX_Character_Mushdoom_Walk4		34768
	763925429	SFX_Attack_Hit_V5	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Hit_V5_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\Hits\SFX_Attack_Hit_V5		17488
