Event	ID	Name			Wwise Object Path	Notes
	270644822	play_jump_player			\Default Work Unit\Player\play_jump_player	
	288448580	play_light_shield_cast			\Default Work Unit\Player\play_light_shield_cast	
	503055785	play_revive_cast			\Default Work Unit\Player\play_revive_cast	
	606264214	play_lightball_return			\Default Work Unit\Player\play_lightball_return	
	1374689126	play_dash_player			\Default Work Unit\Player\play_dash_player	
	1500662117	play_revive_success			\Default Work Unit\Player\play_revive_success	
	1581141001	play_lightball			\Default Work Unit\Player\play_lightball	
	1845066459	play_light_shield_loop			\Default Work Unit\Player\play_light_shield_loop	
	1874104930	play_light_shield_break			\Default Work Unit\Player\play_light_shield_break	
	2622349505	play_lightball_cast			\Default Work Unit\Player\play_lightball_cast	
	3053632302	play_backflip_player			\Default Work Unit\Player\play_backflip_player	
	3428542466	play_attack_player			\Default Work Unit\Player\play_attack_player	
	3445550921	Play_H_Attack_1			\Default Work Unit\Player\Heavy Attack\Play_H_Attack_1	
	3445550922	Play_H_Attack_2			\Default Work Unit\Player\Heavy Attack\Play_H_Attack_2	
	3445550923	Play_H_Attack_3			\Default Work Unit\Player\Heavy Attack\Play_H_Attack_3	
	4134779396	play_footstep_player			\Default Work Unit\Player\play_footstep_player	
	4286466765	stop_light_shield_loop			\Default Work Unit\Player\stop_light_shield_loop	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	34302004	H_Attack_2	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\H_Attack_2_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\H_Attack_2		37360
	54794688	energycast1	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\energycast1_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\SFX_Light_Shield_Cast\energycast1		102088
	93035261	SFX_Character_Character1_Walk3	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Character_Character1_Walk3_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Footsteps\SFX_Character_Character1_Walk3		49744
	94219888	SFX_LigthBall_FullDuplexV4	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_LigthBall_FullDuplexV4_42420CE9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\SFX_LigthBall_FullDuplexV4		37936
	107145383	energycast4	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\energycast4_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\SFX_Light_Shield_Cast\energycast4		102088
	138852600	H_Attack_1	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\H_Attack_1_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\H_Attack_1		102016
	143402405	energycast5	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\energycast5_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\SFX_Light_Shield_Cast\energycast5		111304
	225543872	shieldbreak3	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\shieldbreak3_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\SFX_Light_Shield_Break\shieldbreak3		46288
	231870370	energycast3	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\energycast3_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\SFX_Light_Shield_Cast\energycast3		121672
	263756850	SFX_Reviving	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Reviving_584A6CD9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\SFX_Reviving		164872
	324653055	SFX_Attack_Whoosh_V6	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Whoosh_V6_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attacks\SFX_Attack_Whoosh_V6		5392
	379491096	SFX_Attack_Whoosh_V3	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Whoosh_V3_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attacks\SFX_Attack_Whoosh_V3		14752
	419112091	shieldbreak2	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\shieldbreak2_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\SFX_Light_Shield_Break\shieldbreak2		55504
	432950404	energycast2	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\energycast2_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\SFX_Light_Shield_Cast\energycast2		102088
	526528986	SFX_Character_Character1_Walk2	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Character_Character1_Walk2_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Footsteps\SFX_Character_Character1_Walk2		49744
	527739899	SFX_Light_Shield_Loop	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\energyloop_4811579D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\SFX_Light_Shield_Loop		151552
	534585941	SFX_Attack_Whoosh_V2	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Whoosh_V2_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attacks\SFX_Attack_Whoosh_V2		15256
	548136447	SFX_DashV2	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_DashV2_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Dash\SFX_DashV2		22312
	619030207	shieldbreak1	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\shieldbreak1_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\SFX_Light_Shield_Break\shieldbreak1		37936
	622200536	SFX_Character_Character1_Jump	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Character_Character1_Jump_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\SFX_Character_Character1_Jump		79264
	693922636	SFX_Attack_Whoosh_V9	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Whoosh_V9_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attacks\SFX_Attack_Whoosh_V9		11944
	694354526	SFX_Attack_Whoosh_V5	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Whoosh_V5_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attacks\SFX_Attack_Whoosh_V5		5176
	748517045	SFX_Attack_Whoosh_V7	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Whoosh_V7_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attacks\SFX_Attack_Whoosh_V7		6184
	769509135	SFX_Attack_Whoosh_V10	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Whoosh_V10_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attacks\SFX_Attack_Whoosh_V10		5536
	782739485	energycast6	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\energycast6_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\SFX_Light_Shield_Cast\energycast6		114760
	804900839	H_Attack_3	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\H_Attack_3_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\H_Attack_3		35380
	825257898	SFX_DashV1	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_DashV1_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Dash\SFX_DashV1		27496
	828850219	SFX_Backflip	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Backflip_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\SFX_Backflip		41248
	839167834	SFX_LigthBall_Cast	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_LigthBall_Cast_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\SFX_LigthBall_Cast		86608
	840714878	SFX_LigthBall_ReturnV2	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_LigthBall_ReturnV2_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\SFX_LigthBall_ReturnV2		67816
	924322500	SFX_Character_Character1_Walk1	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Character_Character1_Walk1_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Footsteps\SFX_Character_Character1_Walk1		49744
